n_estimators,learning_rate,max_depth,reg_alpha,reg_lambda,objective,tree_method,enable_categorical,RMSE
500,0.01,8,2,1,reg:squarederror,hist,True,69465.64048628749
500,0.01,8,2,1,reg:pseudohubererror,hist,True,4689940556.248134
500,0.01,8,2,1,reg:squaredlogerror,hist,True,575992.0538345638
500,0.01,8,2,2,reg:squarederror,hist,True,68003.3412974508
500,0.01,8,2,2,reg:pseudohubererror,hist,True,4689940556.248134
500,0.01,8,2,2,reg:squaredlogerror,hist,True,575992.0538345638
500,0.01,8,2,3,reg:squarederror,hist,True,69875.16650618671
500,0.01,8,2,3,reg:pseudohubererror,hist,True,4689940556.248134
500,0.01,8,2,3,reg:squaredlogerror,hist,True,575992.0538345638
500,0.01,8,2,4,reg:squarederror,hist,True,71019.39797182144
500,0.01,8,2,4,reg:pseudohubererror,hist,True,4689940556.248134
500,0.01,8,2,4,reg:squaredlogerror,hist,True,575992.0538345638
500,0.01,10,0,0,reg:squarederror,hist,True,78523.47422771719
500,0.01,10,0,0,reg:pseudohubererror,hist,True,4689940556.248134
500,0.01,10,0,0,reg:squaredlogerror,hist,True,575992.0538345638
500,0.01,10,0,1,reg:squarederror,hist,True,71669.9476531654
500,0.01,10,0,1,reg:pseudohubererror,hist,True,4689940556.248134
500,0.01,10,0,1,reg:squaredlogerror,hist,True,575992.0538345638
500,0.01,10,0,2,reg:squarederror,hist,True,70923.69367461331
500,0.01,10,0,2,reg:pseudohubererror,hist,True,4689940556.248134
500,0.01,10,0,2,reg:squaredlogerror,hist,True,575992.0538345638
500,0.01,10,0,3,reg:squarederror,hist,True,71970.57736894906
500,0.01,10,0,3,reg:pseudohubererror,hist,True,4689940556.248134
500,0.01,10,0,3,reg:squaredlogerror,hist,True,575992.0538345638
500,0.01,10,0,4,reg:squarederror,hist,True,72705.23037351597
500,0.01,10,0,4,reg:pseudohubererror,hist,True,4689940556.248134
500,0.01,10,0,4,reg:squaredlogerror,hist,True,575992.0538345638
500,0.01,10,1,0,reg:squarederror,hist,True,78678.28273829534
500,0.01,10,1,0,reg:pseudohubererror,hist,True,4689940556.248134
500,0.01,10,1,0,reg:squaredlogerror,hist,True,575992.0538345638
500,0.01,10,1,1,reg:squarederror,hist,True,72359.88470332579
500,0.01,10,1,1,reg:pseudohubererror,hist,True,4689940556.248134
500,0.01,10,1,1,reg:squaredlogerror,hist,True,575992.0538345638
500,0.01,10,1,2,reg:squarederror,hist,True,71538.28470409015
500,0.01,10,1,2,reg:pseudohubererror,hist,True,4689940556.248134
500,0.01,10,1,2,reg:squaredlogerror,hist,True,575992.0538345638
500,0.01,10,1,3,reg:squarederror,hist,True,72349.7564082132
500,0.01,10,1,3,reg:pseudohubererror,hist,True,4689940556.248134
500,0.01,10,1,3,reg:squaredlogerror,hist,True,575992.0538345638
500,0.01,10,1,4,reg:squarederror,hist,True,72638.46833475748
500,0.01,10,1,4,reg:pseudohubererror,hist,True,4689940556.248134
500,0.01,10,1,4,reg:squaredlogerror,hist,True,575992.0538345638
500,0.01,10,2,0,reg:squarederror,hist,True,79091.94718499032
500,0.01,10,2,0,reg:pseudohubererror,hist,True,4689940556.248134
500,0.01,10,2,0,reg:squaredlogerror,hist,True,575992.0538345638
500,0.01,10,2,1,reg:squarederror,hist,True,71276.66884030041
500,0.01,10,2,1,reg:pseudohubererror,hist,True,4689940556.248134
500,0.01,10,2,1,reg:squaredlogerror,hist,True,575992.0538345638
500,0.01,10,2,2,reg:squarederror,hist,True,71271.29586451649
500,0.01,10,2,2,reg:pseudohubererror,hist,True,4689940556.248134
500,0.01,10,2,2,reg:squaredlogerror,hist,True,575992.0538345638
500,0.01,10,2,3,reg:squarederror,hist,True,72071.75257543422
500,0.01,10,2,3,reg:pseudohubererror,hist,True,4689940556.248134
500,0.01,10,2,3,reg:squaredlogerror,hist,True,575992.0538345638
500,0.01,10,2,4,reg:squarederror,hist,True,72560.70923169599
500,0.01,10,2,4,reg:pseudohubererror,hist,True,4689940556.248134
500,0.01,10,2,4,reg:squaredlogerror,hist,True,575992.0538345638
500,0.01,12,0,0,reg:squarederror,hist,True,85974.17788190069
500,0.01,12,0,0,reg:pseudohubererror,hist,True,4689940556.248134
500,0.01,12,0,0,reg:squaredlogerror,hist,True,575992.0538345638
500,0.01,12,0,1,reg:squarederror,hist,True,73669.09875830752
500,0.01,12,0,1,reg:pseudohubererror,hist,True,4689940556.248134
500,0.01,12,0,1,reg:squaredlogerror,hist,True,575992.0538345638
500,0.01,12,0,2,reg:squarederror,hist,True,71710.0642278341
500,0.01,12,0,2,reg:pseudohubererror,hist,True,4689940556.248134
500,0.01,12,0,2,reg:squaredlogerror,hist,True,575992.0538345638
500,0.01,12,0,3,reg:squarederror,hist,True,72187.23843386653
500,0.01,12,0,3,reg:pseudohubererror,hist,True,4689940556.248134
500,0.01,12,0,3,reg:squaredlogerror,hist,True,575992.0538345638
500,0.01,12,0,4,reg:squarederror,hist,True,73477.37795059379
500,0.01,12,0,4,reg:pseudohubererror,hist,True,4689940556.248134
500,0.01,12,0,4,reg:squaredlogerror,hist,True,575992.0538345638
500,0.01,12,1,0,reg:squarederror,hist,True,85501.88856701768
500,0.01,12,1,0,reg:pseudohubererror,hist,True,4689940556.248134
500,0.01,12,1,0,reg:squaredlogerror,hist,True,575992.0538345638
500,0.01,12,1,1,reg:squarederror,hist,True,73611.1203626765
500,0.01,12,1,1,reg:pseudohubererror,hist,True,4689940556.248134
500,0.01,12,1,1,reg:squaredlogerror,hist,True,575992.0538345638
500,0.01,12,1,2,reg:squarederror,hist,True,71793.2044045384
500,0.01,12,1,2,reg:pseudohubererror,hist,True,4689940556.248134
500,0.01,12,1,2,reg:squaredlogerror,hist,True,575992.0538345638
500,0.01,12,1,3,reg:squarederror,hist,True,72430.06338398659
500,0.01,12,1,3,reg:pseudohubererror,hist,True,4689940556.248134
500,0.01,12,1,3,reg:squaredlogerror,hist,True,575992.0538345638
500,0.01,12,1,4,reg:squarederror,hist,True,73013.585526959
500,0.01,12,1,4,reg:pseudohubererror,hist,True,4689940556.248134
500,0.01,12,1,4,reg:squaredlogerror,hist,True,575992.0538345638
500,0.01,12,2,0,reg:squarederror,hist,True,85426.92479014667
500,0.01,12,2,0,reg:pseudohubererror,hist,True,4689940556.248134
500,0.01,12,2,0,reg:squaredlogerror,hist,True,575992.0538345638
500,0.01,12,2,1,reg:squarederror,hist,True,73670.66731616204
500,0.01,12,2,1,reg:pseudohubererror,hist,True,4689940556.248134
500,0.01,12,2,1,reg:squaredlogerror,hist,True,575992.0538345638
